,2024/7/24,毎回データを　４行目以下に新規貼り付ける,,,
,IN,IN,IN,IN,IN
aoiName,Satname,observation_jst_time,offnadir_angl,looking_direction,flight_direction
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:04,32.911302,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:05,21.823617,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:06,26.923083,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:06,24.347534,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:06,27.067899,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:07,23.955199,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:07,25.689418,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:07,23.302042,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:07,27.353528,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:07,20.043497,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:07,34.164981,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:07,18.896559,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:07,34.343607,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:07,42.068193,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:08,44.945426,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:08,39.484315,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:08,42.004135,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:08,41.036182,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:08,42.053407,Right,Descending
[AT] Ishikawa_Suzu_SM2,StriX-1,2024/6/17 0:09,44.75221,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 0:09,44.75221,Right,Descending
[AT] Saga_Hakata_LSM2,StriX-1,2024/6/17 6:24,43.830155,Right,Descending
[AT] Naka_Ryugasaki_LSM2,StriX-1,2024/6/17 7:59,27.046667,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 23:56,19.655191,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 23:58,21.41713,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 23:58,22.798477,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 23:58,24.275766,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 23:58,25.880365,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 23:59,20.388113,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 23:59,44.922611,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 23:59,34.3455,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/17 23:59,27.471725,Right,Descending
[AT] Ishikawa_Wajima_SM2,StriX-1,2024/6/18 1:33,35.638399,Left,Descending
[AT] Tsukubamirai_Tokyo_LSM2,StriX-1,2024/6/18 1:38,16.120662,Right,Descending
[AT] Tsukubamirai_Tokyo_LSM2,StriX-1,2024/6/18 1:38,18.82682,Right,Descending
[AT] Oita_Miyazaki_LSM2,StriX-1,2024/6/18 3:08,44.672761,Left,Descending
[AT] Naka_Ryugasaki_LSM2,StriX-1,2024/6/18 7:51,36.618369,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/18 23:49,21.844966,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/18 23:49,25.358035,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/18 23:49,25.122993,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/18 23:50,35.715834,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/18 23:50,36.720008,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/18 23:50,37.784847,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/18 23:50,39.047713,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/18 23:50,17.895702,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/18 23:50,35.322665,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/18 23:50,28.710783,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/18 23:50,40.483318,Right,Descending
[AT] Ishikawa_Wajima_SM2,StriX-1,2024/6/19 1:25,21.210663,Left,Descending
[AT] Tsukubamirai_Tokyo_LSM2,StriX-1,2024/6/19 1:29,34.134549,Right,Descending
[AT] Tsukubamirai_Tokyo_LSM2,StriX-1,2024/6/19 1:30,36.298641,Right,Descending
[AT] Oita_Miyazaki_LSM2,StriX-1,2024/6/19 2:59,35.049094,Left,Descending
[AT] AGRI_Ogata,StriX-1,2024/6/19 7:38,21.029776,Right,Descending
[AT] Naka_Ryugasaki_LSM2,StriX-1,2024/6/19 7:42,44.018505,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/19 23:39,27.710975,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/19 23:40,35.614129,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/19 23:41,26.208431,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/19 23:41,38.552764,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/19 23:41,38.424685,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/19 23:41,29.407712,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/19 23:41,26.808938,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/19 23:41,30.09286,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/19 23:41,28.522719,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/19 23:41,30.706051,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/19 23:41,26.958988,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/19 23:41,33.456288,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/19 23:42,41.301903,Right,Descending
[AT] Oita_Miyazaki_LSM2,StriX-1,2024/6/20 2:51,21.486397,Left,Descending
[AT] AGRI_Ogata,StriX-1,2024/6/20 7:30,27.859295,Right,Descending
[AT] Saga_Hakata_LSM2,StriX-1,2024/6/20 7:33,43.052631,Left,Descending
[AT] AGRI_Ogata,StriX-1,2024/6/20 9:04,43.761953,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:31,28.865448,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:31,39.441701,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:32,39.171561,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:33,41.568023,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:33,39.766148,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:33,42.115809,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:33,42.545803,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:33,41.039229,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:33,39.972053,Right,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/20 23:33,44.444513,Right,Descending
[AT] Ishikawa_Wajima_SM2,StriX-1,2024/6/21 1:08,16.858499,Right,Descending
[AT] AGRI_Ogata,StriX-1,2024/6/21 7:21,33.880586,Right,Descending
[AT] Saga_Hakata_LSM2,StriX-1,2024/6/21 7:24,35.815052,Left,Descending
[AT] AGRI_Ogata,StriX-1,2024/6/21 8:56,40.267316,Left,Descending
[AT] Ishikawa_Nanao_SM2,StriX-1,2024/6/21 23:22,40.100444,Right,Descending
